CONCISE NET LIST - 1  
3V3_AO                   C34              1        C_0402-1NF,X5R,10%,25V,039-0028-000-039-0028-000,1NF
3V3_AO                   C36              1        C_0603-4.7UF,X5R,20%,6.3V,032-0886-000-032-0886-000,4.7UF
3V3_AO                   C135             1        C_0402-0.1UF,X5R,10%,6.3V,039-0007-000-0.1UF,039-0007-000
3V3_AO                   R30              1        R_0402-309K,1 %,62.5MW,195-0241-000-195-0241-000,309K
3V3_AO                   R139             1        R_0402-10K,1 %,62.5MW,195-0004-000-10K,195-0004-000
3V3_AO                   R140             1        R_0402-4.7K,5 %,62.5MW,195-0598-000-195-0598-000,4.7K
3V3_AO                   R141             1        R_0402-10K,1 %,62.5MW,195-0004-000-10K,195-0004-000
3V3_AO                   R144             1        R_0402-100K,1 %,62.5MW,195-0005-000-100K,195-0005-000
3V3_AO                   R183             1        R_0402-10K,1 %,62.5MW,195-0004-000-10K,195-0004-000
3V3_AO                   R184             1        R_0402-10K,1 %,62.5MW,195-0004-000-10K,195-0004-000
3V3_AO                   R198             1        R_0402-10K,1 %,62.5MW,195-0004-000-10K,195-0004-000
3V3_AO                   R224             1        R_0402-10K,1 %,62.5MW,195-0004-000-10K,195-0004-000
3V3_AO                   U6               5        U_LDO_SOT23_5_NOVR-GS7116S5-ADJ-R,STANDARD,0.45V@0.5A,0.8V..5V,2%,0.8V,6.5V,0.5A,0.4W,315-1022-000-0.8V,315-1022-000
3V3_AO                   U18              4        U_CPU_EFM8SB1_QFN20-EFM8SB10F2G,OTHER,115-2594-000-115-2594-000
3V3_AO                   U19              5        U_BUF_OD_SC70_5-74LVC1G07GW/SN74LVC1G07DCKRE4,BUFFER - OPEN DRAIN,115-0138-000-115-0138-000
3V3_AO                   U23              5        U_LEVSHFT_3STATE_SC70_5-SN74LV1T125,LEVEL SHIFTER,115-2747-000-115-2747-000
3V3_AO_ADJ               C34              2        C_0402-1NF,X5R,10%,25V,039-0028-000-039-0028-000,1NF
3V3_AO_ADJ               R30              2        R_0402-309K,1 %,62.5MW,195-0241-000-195-0241-000,309K
